victim_sex,acquaintance_status,relationship,year,count
Female,Not acquainted,Stranger,2020-21,9
Female,Not acquainted,Stranger,2021-22,17
Female,Not acquainted,Stranger,2022-23,14
Female,Not acquainted,Stranger,2023-24,7
Female,Not acquainted,Stranger,2024-25,12
Female,Not acquainted,Relationship not known,2014-15,4
Female,Not acquainted,Relationship not known,2015-16,8
Female,Not acquainted,Relationship not known,2016-17,5
Female,Not acquainted,Relationship not known,2017-18,6
Female,Not acquainted,Relationship not known,2018-19,5
Female,Not acquainted,Relationship not known,2019-20,3
Female,Not acquainted,Relationship not known,2020-21,4
Female,Not acquainted,Relationship not known,2021-22,6
Female,Not acquainted,Relationship not known,2022-23,4
Female,Not acquainted,Relationship not known,2023-24,2
Female,Not acquainted,Relationship not known,2024-25,5
Female,Not acquainted,No suspect charged,2014-15,35
Female,Not acquainted,No suspect charged,2015-16,24
Female,Not acquainted,No suspect charged,2016-17,40
Female,Not acquainted,No suspect charged,2017-18,47
Female,Not acquainted,No suspect charged,2018-19,53
Female,Not acquainted,No suspect charged,2019-20,39
Female,Not acquainted,No suspect charged,2020-21,30
Female,Not acquainted,No suspect charged,2021-22,46
Female,Not acquainted,No suspect charged,2022-23,41
Female,Not acquainted,No suspect charged,2023-24,36
Female,Not acquainted,No suspect charged,2024-25,40
